SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611994.325413, 0.185850, -0.119411, -9.813234, 0.000840, 0.006512, 0.003118
1772611994.335444, 0.159514, -0.099958, -9.814730, -0.000632, 0.007199, 0.002651
1772611994.344572, 0.179266, -0.097564, -9.800216, -0.000632, 0.007199, 0.002651
1772611994.355443, 0.180164, -0.097713, -9.812187, -0.000667, 0.004858, 0.002232
1772611994.365409, 0.186000, -0.093524, -9.806500, -0.003534, 0.006590, 0.001866
1772611994.375416, 0.185102, -0.110881, -9.811139, 0.000705, 0.006690, 0.000315
1772611994.385442, 0.168492, -0.109235, -9.819818, 0.000705, 0.006690, 0.000315
1772611994.394528, 0.174627, -0.088885, -9.811139, -0.002088, 0.006076, 0.002207
1772611994.405405, 0.196624, -0.089633, -9.818621, 0.003213, 0.005999, 0.004590
1772611994.415407, 0.203058, -0.104148, -9.821464, -0.002535, 0.004751, 0.001650
1772611994.425389, 0.182708, -0.104148, -9.827300, 0.002621, 0.005639, 0.003943
1772611994.435404, 0.174926, -0.103998, -9.800216, -0.001828, 0.005293, 0.005071
1772611994.444588, 0.181810, -0.106542, -9.819519, -0.000675, 0.003991, 0.003331
1772611994.455155, 0.171784, -0.104297, -9.796924, -0.000374, 0.004996, 0.001906
1772611994.465406, 0.189740, -0.097264, -9.808595, -0.000685, 0.004377, 0.003672
1772611994.475406, 0.188244, -0.102502, -9.811139, -0.000648, 0.004418, 0.004804
1772611994.485387, 0.177321, -0.102202, -9.796924, -0.003158, 0.007420, 0.001469
1772611994.494499, 0.183306, -0.113874, -9.814581, 0.001087, 0.007073, 0.002183
1772611994.505403, 0.189591, -0.101454, -9.798420, 0.001092, 0.005085, 0.001546
1772611994.515417, 0.182109, -0.115221, -9.807847, -0.000892, 0.006697, 0.001671
1772611994.525503, 0.192284, -0.119710, -9.809493, -0.003186, 0.005100, 0.005230
1772611994.535510, 0.186897, -0.102202, -9.808446, 0.001266, 0.009775, 0.000749
1772611994.545412, 0.180164, -0.100706, -9.812935, -0.003714, 0.006456, 0.002266
1772611994.555408, 0.177321, -0.100257, -9.818920, -0.001170, 0.006176, 0.001108
1772611994.565523, 0.172831, -0.094721, -9.814431, -0.000978, 0.004503, 0.002387
1772611994.575405, 0.182259, -0.094571, -9.795577, -0.001403, 0.005626, 0.002047
1772611994.584562, 0.186149, -0.108936, -9.814132, 0.001736, 0.004191, 0.001555
1772611994.594457, 0.181510, -0.100856, -9.821763, -0.001813, 0.005773, 0.004024
1772611994.605403, 0.188693, -0.094122, -9.788843, -0.000439, 0.008346, 0.004644
1772611994.615499, 0.187346, -0.095768, -9.799916, -0.002217, 0.005707, 0.003006
1772611994.625263, 0.177769, -0.110433, -9.814581, -0.001997, 0.006718, 0.002332
1772611994.635422, 0.198120, -0.111630, -9.800066, -0.001449, 0.008356, 0.002266
1772611994.645421, 0.181810, -0.109086, -9.804705, 0.000917, 0.006511, 0.001939
1772611994.655420, 0.175525, -0.096367, -9.803059, 0.001283, 0.005707, 0.000952
1772611994.665461, 0.185251, -0.112079, -9.819070, 0.000238, 0.003903, 0.001274
1772611994.675439, 0.194679, -0.111031, -9.807847, -0.003511, 0.004888, 0.001163
1772611994.685400, 0.192135, -0.101903, -9.815329, -0.002767, 0.005268, 0.003286
1772611994.695555, 0.191237, -0.114922, -9.799318, -0.000662, 0.005834, 0.003058
1772611994.705465, 0.182259, -0.113575, -9.813533, -0.000825, 0.008543, 0.003147
1772611994.715465, 0.186149, -0.103848, -9.812187, -0.000734, 0.005067, 0.002046
1772611994.725470, 0.175824, -0.100706, -9.827150, -0.001090, 0.007409, 0.003583
1772611994.735486, 0.187945, -0.092925, -9.823260, 0.000052, 0.006318, 0.002064
1772611994.745448, 0.191985, -0.106542, -9.814431, 0.000376, 0.004904, 0.002235
1772611994.755209, 0.178218, -0.103400, -9.790489, -0.001152, 0.006053, 0.002039
1772611994.765134, 0.187795, -0.084845, -9.805752, 0.001021, 0.005964, 0.001837
1772611994.775407, 0.185251, -0.092925, -9.804555, -0.000433, 0.008644, 0.003240
1772611994.784942, 0.182259, -0.104447, -9.814431, -0.002273, 0.007468, 0.001714
1772611994.794840, 0.186149, -0.095469, -9.811289, 0.000051, 0.007029, 0.000079
1772611994.805459, 0.193033, -0.101155, -9.812486, 0.002341, 0.006290, 0.003414
1772611994.815513, 0.188244, -0.102502, -9.803208, 0.001098, 0.004537, 0.001696
1772611994.825501, 0.176872, -0.100407, -9.815778, -0.001071, 0.007078, 0.003252
1772611994.835432, 0.181361, -0.099509, -9.803807, -0.002229, 0.005942, 0.004080
1772611994.845524, 0.181361, -0.090082, -9.809792, -0.002543, 0.008797, 0.003783
1772611994.855473, 0.204255, -0.090830, -9.821913, 0.001890, 0.005471, 0.000727
1772611994.865528, 0.184204, -0.099509, -9.814132, -0.001364, 0.005686, 0.002343
1772611994.874609, 0.183306, -0.101155, -9.809343, 0.003594, 0.005029, 0.003192
1772611994.885390, 0.194379, -0.104597, -9.812486, 0.001038, 0.004115, 0.002435
